school_code,school,is_district_office,school_and_district
4160,Sunrise Elementary,f,Sunrise Elementary - Central Valley
4162,Mountain View High School,f,Mountain View High School - Evergreen (Clark)
4163,Hearthwood Elementary School,f,Hearthwood Elementary School - Evergreen (Clark)
4164,Mukilteo Elementary,f,Mukilteo Elementary - Mukilteo
4165,Picnic Point Elementary,f,Picnic Point Elementary - Mukilteo
4166,Victor Falls Elementary,f,Victor Falls Elementary - Sumner
4167,Northstar Middle School,f,Northstar Middle School - Lake Washington
4170,Wilkeson Elementary School,f,Wilkeson Elementary School - White River
4175,North Olympic Peninsula Skills Center,f,North Olympic Peninsula Skills Center - Port Angeles
4178,Decatur Elementary,f,Decatur Elementary - Lopez
4180,Fort Colville Elementary,f,Fort Colville Elementary - Colville
4181,Lincoln Elementary School,f,Lincoln Elementary School - Kennewick
4182,Dorothy Fox,f,Dorothy Fox - Camas
4183,Ferrucci Jr High,f,Ferrucci Jr High - Puyallup
4184,Seattle Hill Elementary,f,Seattle Hill Elementary - Snohomish
4185,Horizon Middle School,f,Horizon Middle School - Central Valley
4186,Cedarcrest Middle School,f,Cedarcrest Middle School - Bethel
4187,Sunrise Elementary,f,Sunrise Elementary - Northshore
4189,Minter Creek Elementary,f,Minter Creek Elementary - Peninsula
4191,Spokane Area Professional-Technical Skills Center,f,Spokane Area Professional-Technical Skills Center  - Spokane
4192,Woodridge Elementary,f,Woodridge Elementary - Spokane
4193,Blue Ridge Elementary,f,Blue Ridge Elementary - Walla Walla
4196,Tonasket Middle School,f,Tonasket Middle School - Tonasket
4201,Lynden High School,f,Lynden High School - Lynden
4202,Cascade Elementary School,f,Cascade Elementary School - Kennewick
4203,Cascadia Technical Academy Skills Center,f,Cascadia Technical Academy Skills Center - Evergreen (Clark)
4204,Lakewood High School,f,Lakewood High School - Lakewood
4205,Black Lake Elementary,f,Black Lake Elementary - Tumwater
4206,Kettle Falls High School,f,Kettle Falls High School - Kettle Falls
4207,Jemtegaard Middle School,f,Jemtegaard Middle School - Washougal
4208,Woodinville HS,f,Woodinville HS - Northshore
4209,Pacific Middle School,f,Pacific Middle School - Evergreen (Clark)
4210,Enumclaw Middle School,f,Enumclaw Middle School - Enumclaw
4213,Bridgeport Middle School,f,Bridgeport Middle School - Bridgeport
4214,Inchelium Middle School,f,Inchelium Middle School - Inchelium
4215,Inchelium Elementary School,f,Inchelium Elementary School - Inchelium
4218,South Shore PK-8 School,f,South Shore PK-8 School - Seattle
4219,Kopachuck Middle School,f,Kopachuck Middle School - Peninsula
4220,Ilwaco High School,f,Ilwaco High School - Ocean Beach
4221,Zillah Intermediate School,f,Zillah Intermediate School - Zillah
4222,Morris Schott Elementary,f,Morris Schott Elementary - Wahluke
4223,Brewster Middle School,f,Brewster Middle School - Brewster
4224,Yelm Prairie Elementary,f,Yelm Prairie Elementary - Yelm
4225,New Market Skills Center,f,New Market Skills Center - Tumwater
4226,Liberty Jr High & Elementary,f,Liberty Jr High & Elementary - Liberty
4227,Rocky Ridge Elementary,f,Rocky Ridge Elementary - Bethel
4228,Riverside High School,f,Riverside High School - Riverside
4229,Beezley Springs Elementary,f,Beezley Springs Elementary - Ephrata
4230,Eatonville Middle School,f,Eatonville Middle School - Eatonville
4231,Explorer Middle School,f,Explorer Middle School - Mukilteo
4232,Wellpinit Middle School,f,Wellpinit Middle School - Wellpinit
4233,Marysville Mountain View High School,f,Marysville Mountain View High School - Marysville
4237,Omak Middle School,f,Omak Middle School - Omak
4238,Tenino Elementary School,f,Tenino Elementary School - Tenino
4241,Dutch Hill Elementary,f,Dutch Hill Elementary - Snohomish
4245,Elma Middle School,f,Elma Middle School - Elma
4246,Washington State School for the Deaf,f,Washington State School for the Deaf - WA State Deaf
4247,ACES High School,f,ACES High School - Mukilteo
4248,Hawthorne Elementary School - Seattle,f,Hawthorne Elementary School - Seattle - Seattle
4249,Ridgetop Middle School,f,Ridgetop Middle School - Central Kitsap
4250,Emerald Hills Elementary,f,Emerald Hills Elementary - Sumner
4254,Wahluke High School,f,Wahluke High School - Wahluke
4255,Meadows Elementary,f,Meadows Elementary - North Thurston
4256,Alcott Elementary,f,Alcott Elementary - Lake Washington
4260,Chelan High School,f,Chelan High School - Lake Chelan
4261,Chimacum Middle School,f,Chimacum Middle School - Chimacum
4262,Orting Middle School,f,Orting Middle School - Orting
4263,Residential Consortium,f,Residential Consortium - Seattle
4264,Toutle Lake Elementary,f,Toutle Lake Elementary - Toutle Lake
4265,AIM High School,f,AIM High School - Snohomish
4267,Grays Harbor Juvenile Detention,f,Grays Harbor Juvenile Detention - Aberdeen
4271,Pleasant Glade Elementary,f,Pleasant Glade Elementary - North Thurston
4272,Selah Academy Online,f,Selah Academy Online - Selah
4274,Sultan Senior High School,f,Sultan Senior High School - Sultan
4277,Hutch School,f,Hutch School - Seattle
4278,Paschal Sherman,f,Paschal Sherman - Omak
4279,Highlands High School,f,Highlands High School - Omak
4283,Pearl Street Center,f,Pearl Street Center - Tacoma
4286,Sacred Heart Hospital,f,Sacred Heart Hospital - Spokane
4287,Weston High School,f,Weston High School - Arlington
4288,Choice Middle and High School,f,Choice Middle and High School - Shelton
4289,Sunrise Elementary,f,Sunrise Elementary - Enumclaw
4293,Ridgewood Elementary School,f,Ridgewood Elementary School - Kent
4294,Martin Sortun Elementary School,f,Martin Sortun Elementary School - Kent
4295,Rivers Edge High School,f,Rivers Edge High School - Richland
4296,Camas Prairie Elementary,f,Camas Prairie Elementary - Bethel
4297,Graham Elementary,f,Graham Elementary - Bethel
4298,Silver Firs Elementary,f,Silver Firs Elementary - Everett
4299,Burnt Bridge Creek Elementary Sch,f,Burnt Bridge Creek Elementary Sch - Evergreen (Clark)
4300,Challenger Elementary,f,Challenger Elementary - Issaquah
4301,Jenkins Creek Elementary School,f,Jenkins Creek Elementary School - Kent
4302,Smith Elementary,f,Smith Elementary - Lake Washington
4303,Challenger Elementary,f,Challenger Elementary - Mukilteo
4304,Discovery Elementary,f,Discovery Elementary - Mukilteo
4305,Bear Creek Elementary,f,Bear Creek Elementary - Northshore
4306,Fernwood Elementary,f,Fernwood Elementary - Northshore
4307,Voyager Elementary,f,Voyager Elementary - Peninsula
4308,Edwin R Opstad Elementary,f,Edwin R Opstad Elementary - Snoqualmie Valley
4309,Foothills Elementary,f,Foothills Elementary - White River
4311,Chehalis Middle School,f,Chehalis Middle School - Chehalis
4314,South Sound High School,f,South Sound High School - North Thurston
4316,Mill Creek Elementary,f,Mill Creek Elementary - Everett
4318,Tolt Middle School,f,Tolt Middle School - Riverview
4320,Sand Hill Elementary,f,Sand Hill Elementary - North Mason
4321,South Whidbey Elementary,f,South Whidbey Elementary - South Whidbey
4323,Kellogg Marsh Elementary School,f,Kellogg Marsh Elementary School - Marysville
4324,Isom Elementary School,f,Isom Elementary School - Lynden
4325,Drum Intermediate,f,Drum Intermediate - University Place
4326,Rochester High School,f,Rochester High School - Rochester
4327,Eagle Creek Elementary,f,Eagle Creek Elementary - Arlington
4328,Hillcrest Elementary,f,Hillcrest Elementary - Oak Harbor
4329,Centennial Elementary School,f,Centennial Elementary School  - Mt Vernon
4330,Mountain Way Elementary,f,Mountain Way Elementary - Granite Falls
4331,Centennial Elementary Bethel,f,Centennial Elementary Bethel - Bethel
4332,Stillwater Elementary,f,Stillwater Elementary - Riverview
4333,Lakeside High School,f,Lakeside High School - Nine Mile Falls
4334,Heatherwood Middle School,f,Heatherwood Middle School - Everett
4335,Onalaska Middle School,f,Onalaska Middle School  - Onalaska
4336,Wilder Elementary,f,Wilder Elementary - Lake Washington
4341,Cougar Valley Elementary,f,Cougar Valley Elementary - Central Kitsap
4342,Columbia Elementary,f,Columbia Elementary - Mukilteo
4343,Silver Lake Elementary School - Federal Way,f,Silver Lake Elementary School - Federal Way - Federal Way
4344,Horizon Elementary,f,Horizon Elementary - Mukilteo
4345,Horizon Elementary School,f,Horizon Elementary School - Kent
4346,Fort Stevens Elementary,f,Fort Stevens Elementary - Yelm
4347,Hazelwood Elementary School,f,Hazelwood Elementary School - Auburn
4348,Hidden Creek Elementary School,f,Hidden Creek Elementary School - South Kitsap
4349,Sidney Glen Elementary School,f,Sidney Glen Elementary School - South Kitsap
4350,Mullenix Ridge Elementary School,f,Mullenix Ridge Elementary School - South Kitsap
4352,Captain Strong,f,Captain Strong - Battle Ground
4353,Carriage Crest Elementary School,f,Carriage Crest Elementary School - Kent
4354,Mcauliffe Elementary,f,Mcauliffe Elementary - Lake Washington
4355,Frank Love Elementary,f,Frank Love Elementary - Northshore
4356,Neely O Brien Elementary School,f,Neely O Brien Elementary School - Kent
4357,Cedarcrest School,f,Cedarcrest School - Marysville
4359,Kingston Middle School,f,Kingston Middle School - North Kitsap
4360,Hunt Elementary,f,Hunt Elementary - Puyallup
4361,Brouillet Elementary,f,Brouillet Elementary - Puyallup
4362,Chain Lake Elementary School,f,Chain Lake Elementary School - Monroe
4363,Oakland Bay Junior High School,f,Oakland Bay Junior High School - Shelton
4364,Twin City Elementary,f,Twin City Elementary - Stanwood
4365,East Olympia Elementary,f,East Olympia Elementary - Tumwater
4366,Cascade View Elementary,f,Cascade View Elementary - Snohomish
4367,Centennial Elementary Olympia,f,Centennial Elementary Olympia - Olympia
4368,Seven Oaks Elementary,f,Seven Oaks Elementary - North Thurston
4369,Winlock Middle School,f,Winlock Middle School - Winlock
4371,Skyview Middle School,f,Skyview Middle School - Northshore
4372,Silver Ridge Elementary,f,Silver Ridge Elementary - Central Kitsap
4373,Tumwater Hill Elementary,f,Tumwater Hill Elementary - Tumwater
4374,Sherwood Forest Elementary School,f,Sherwood Forest Elementary School - Federal Way
4375,Cougar Ridge Elementary,f,Cougar Ridge Elementary - Issaquah
4376,Discovery Elementary,f,Discovery Elementary - Issaquah
4377,Woodmoor Elementary,f,Woodmoor Elementary - Northshore
4378,Greywolf Elementary School,f,Greywolf Elementary School - Sequim
4379,East Ridge Elementary,f,East Ridge Elementary - Northshore
4380,Harmony Elementary School,f,Harmony Elementary School - Evergreen (Clark)
4381,Pioneer Valley Elementary,f,Pioneer Valley Elementary - Bethel
4382,Cedar Wood Elementary,f,Cedar Wood Elementary - Everett
4383,Totem Falls,f,Totem Falls - Snohomish
4384,Heights Elementary,f,Heights Elementary - Clarkston
4385,Rainier Middle School,f,Rainier Middle School - Auburn
4386,Inglewood Middle School,f,Inglewood Middle School - Lake Washington
4387,Harbor Ridge Middle School,f,Harbor Ridge Middle School - Peninsula
4389,Moran Prairie Elementary,f,Moran Prairie Elementary - Spokane
4391,Glenwood Elementary,f,Glenwood Elementary - Lake Stevens
4392,Skyline Elementary,f,Skyline Elementary - Lake Stevens
4393,Green Mountain Elementary,f,Green Mountain Elementary - Central Kitsap
4394,Summit Valley School,f,Summit Valley School - Summit Valley
4395,Centennial Middle School,f,Centennial Middle School - Snohomish
4396,Evergreen Elementary School,f,Evergreen Elementary School - Clover Park
4397,Chief Kanim Middle School,f,Chief Kanim Middle School - Snoqualmie Valley
4399,Gold Bar Elementary,f,Gold Bar Elementary - Sultan
4400,Meadow Ridge Elementary,f,Meadow Ridge Elementary - Mead
4402,Liberty Ridge Elementary,f,Liberty Ridge Elementary - Sumner
4403,Icicle River Middle School,f,Icicle River Middle School - Cascade
4405,Chinook Elementary School,f,Chinook Elementary School - Vancouver
4406,Alki Middle School,f,Alki Middle School - Vancouver
4407,Frontier Middle School,f,Frontier Middle School - Bethel
4408,Horizons Elementary,f,Horizons Elementary - North Thurston
4409,Komachin Middle School,f,Komachin Middle School - North Thurston
4410,Roosevelt Elementary School,f,Roosevelt Elementary School - Vancouver
4411,Valley View Elementary School,f,Valley View Elementary School - Ellensburg
4412,Bay View Elementary,f,Bay View Elementary - Burlington Edison
4413,George T. Daniel Elementary School,f,George T. Daniel Elementary School - Kent
4414,Shaw Road Elementary,f,Shaw Road Elementary - Puyallup
4415,Rock Creek Elementary,f,Rock Creek Elementary - Tahoma
4416,North Tapps Middle School,f,North Tapps Middle School - Dieringer
4417,Ilalko Elementary School,f,Ilalko Elementary School - Auburn
4418,Amistad Elementary School,f,Amistad Elementary School - Kennewick
4420,Sunrise Elementary School,f,Sunrise Elementary School - Kent
4421,Kitsap Lake Elementary,f,Kitsap Lake Elementary - Bremerton
4422,Rainier View Elementary School,f,Rainier View Elementary School - Federal Way
4423,John Newbery Elementary,f,John Newbery Elementary - Wenatchee
4424,Einstein Elementary,f,Einstein Elementary - Lake Washington
4425,Voyager Middle School,f,Voyager Middle School - Mukilteo
4426,Green Gables Elementary School,f,Green Gables Elementary School - Federal Way
4427,River Ridge High School,f,River Ridge High School - North Thurston
4428,Everson Elementary,f,Everson Elementary - Nooksack Valley
4429,Horse Heaven Hills Middle School,f,Horse Heaven Hills Middle School - Kennewick
4430,Harbour Pointe Middle School,f,Harbour Pointe Middle School - Mukilteo
4431,La Center High School,f,La Center High School - Lacenter
4432,Foothills Middle School,f,Foothills Middle School - Wenatchee
4433,Kamiak High School,f,Kamiak High School - Mukilteo
4435,Crestwood Elementary,f,Crestwood Elementary - Sumner
4436,Kent Prairie Elementary,f,Kent Prairie Elementary - Arlington
4437,Gateway Middle School,f,Gateway Middle School - Everett
4438,Henry M. Jackson High School,f,Henry M. Jackson High School - Everett
4439,Eastlake High School,f,Eastlake High School - Lake Washington
4440,Cedar Heights Middle School,f,Cedar Heights Middle School - Kent
4441,Mountain View Middle School,f,Mountain View Middle School - Bremerton
4442,Kulshan Middle School,f,Kulshan Middle School - Bellingham
4443,Stahl Junior High,f,Stahl Junior High - Puyallup
4444,Emerald Heights Elementary,f,Emerald Heights Elementary - Central Kitsap
4445,Pioneer Elementary School,f,Pioneer Elementary School - Evergreen (Clark)
4446,Ridge View Elementary School,f,Ridge View Elementary School - Kennewick
4447,Evergreen Primary,f,Evergreen Primary - University Place
4448,Cottonwood Elementary School,f,Cottonwood Elementary School - West Valley (Yak)
4450,Summit View High School,f,Summit View High School - Battle Ground
4451,Mill Pond Elementary School,f,Mill Pond Elementary School - Yelm
4452,George Washington Bush Middle Sch,f,George Washington Bush Middle Sch - Tumwater
4453,Glacier Park Elementary,f,Glacier Park Elementary - Tahoma
4454,Allen Creek Elementary School,f,Allen Creek Elementary School - Marysville
4455,Kokanee Elementary,f,Kokanee Elementary - Northshore
